ingredient_a,ingredient_b,level,description
마그네슘,칼슘,caution,같은 경로로 흡수되어 함께 복용 시 흡수율이 저하됩니다. 2시간 간격을 두고 복용하세요.
마그네슘,아연,caution,고용량 복용 시 서로의 흡수를 방해할 수 있습니다. 고용량 복용 시 주의하세요.
마그네슘,비타민D,positive,마그네슘은 비타민D 활성화에 필수적입니다. 함께 복용하면 효과가 향상됩니다.
칼슘,철분,warning,칼슘은 철분의 흡수를 크게 방해합니다. 최소 2시간 이상 간격을 두고 복용하세요.
칼슘,아연,caution,고용량의 칼슘은 아연 흡수를 방해할 수 있습니다. 적정량을 지키세요.
칼슘,비타민D,positive,비타민D는 칼슘 흡수를 크게 촉진합니다. 함께 복용하면 시너지 효과가 있습니다.
칼슘,비타민K,positive,비타민K2는 칼슘이 뼈로 이동하도록 도와줍니다. 함께 복용을 권장합니다.
아연,철분,warning,아연과 철분은 서로의 흡수를 경쟁적으로 방해합니다. 따로 복용하세요.
아연,구리,warning,아연 고용량 복용 시 구리 결핍을 유발할 수 있습니다. 구리를 함께 보충하세요.
아연,비타민C,positive,아연과 비타민C는 면역 기능을 시너지 효과로 강화합니다.
비타민D,마그네슘,positive,마그네슘은 비타민D 대사에 필수적입니다. 함께 복용하면 효과가 향상됩니다.
비타민D,비타민K,positive,비타민K는 비타민D로 인한 칼슘이 혈관에 쌓이는 것을 방지합니다. 함께 복용하세요.
비타민C,철분,positive,비타민C는 비헴철의 흡수를 크게 향상시킵니다. 함께 복용을 권장합니다.
비타민C,비타민B12,caution,고용량 비타민C는 비타민B12를 분해할 수 있습니다. 복용 간격을 두세요.
비타민A,비타민D,caution,비타민A 고용량은 비타민D의 효과를 저해할 수 있습니다. 적정량을 지키세요.
비타민K,혈액희석제,warning,비타민K는 혈액응고에 관여하여 혈액희석제(와파린)의 효과를 방해합니다. 의사와 상담하세요.
오메가3,비타민E,positive,오메가3와 비타민E는 함께 복용 시 항산화 효과가 상승합니다.
오메가3,은행잎추출물,warning,둘 다 혈액응고를 억제하는 효과가 있어 함께 복용 시 출혈 위험이 증가합니다.
오메가3,혈액희석제,warning,오메가3는 혈액을 묽게 하는 효과가 있어 혈액희석제와 병용 시 출혈 위험이 증가합니다.
루테인,아스타잔틴,positive,루테인과 아스타잔틴은 함께 복용 시 눈 건강 보호 효과가 상승합니다.
루테인,오메가3,positive,루테인과 오메가3는 눈 건강과 망막 보호에 시너지 효과를 냅니다.
프로바이오틱스,항생제,warning,항생제는 프로바이오틱스의 유익균을 사멸시킵니다. 항생제 복용 2시간 후에 복용하세요.
밀크씨슬,철분,caution,밀크씨슬은 철분 흡수를 감소시킬 수 있습니다. 복용 시간을 달리하세요.
코엔자임Q10,혈압약,caution,코엔자임Q10은 혈압을 낮추는 효과가 있어 혈압약과 병용 시 혈압이 과도하게 낮아질 수 있습니다.
세인트존스워트,항우울제,warning,세인트존스워트는 항우울제와 병용 시 세로토닌 증후군을 유발할 수 있습니다. 반드시 의사와 상담하세요.
세인트존스워트,혈액희석제,warning,세인트존스워트는 혈액희석제(와파린) 대사를 촉진하여 약효를 감소시킵니다.
글루코사민,혈액희석제,caution,글루코사민은 혈액희석제의 효과를 증가시킬 수 있습니다. 의사와 상담 후 복용하세요.
비타민B12,엽산,positive,비타민B12와 엽산은 함께 복용 시 신경 건강과 혈액 생성에 시너지 효과가 있습니다.
엽산,아연,caution,고용량 엽산은 아연 흡수를 방해할 수 있습니다. 복용 시간을 달리하세요.
철분,녹차추출물,warning,녹차의 탄닌 성분이 철분 흡수를 크게 방해합니다. 철분 복용 1시간 전후로 녹차를 피하세요.
칼슘,커피,caution,커피는 칼슘 흡수를 방해하고 소변으로의 칼슘 배출을 증가시킵니다.
